,Industry,No. of Jobs
0,Bán hàng / Kinh doanh,4064
1,Kế toán / Kiểm toán,2106
2,Ngân hàng,1992
3,Tiếp thị / Marketing,1964
4,Tài chính / Đầu tư,1864
5,Dịch vụ khách hàng,1722
6,Bán lẻ / Bán sỉ,1476
7,Hành chính / Thư ký,1468
8,CNTT - Phần mềm,1364
9,Điện / Điện tử / Điện lạnh,1155
10,Sản xuất / Vận hành sản xuất,1119
11,Cơ khí / Ô tô / Tự động hóa,1111
12,Nhân sự,1049
13,Tư vấn,893
14,Xây dựng,885
15,Quản lý điều hành,865
16,CNTT - Phần cứng / Mạng,846
17,Quảng cáo / Đối ngoại / Truyền Thông,829
18,Bất động sản,733
19,Vận chuyển / Giao nhận /  Kho vận,714
