,Total Jobs,Intern,Junior,Senior,Manager/Director,Industry,No. of Jobs
0,20142,169.0,16706.0,3064.0,203.0,,
1,20142,169.0,16706.0,3064.0,203.0,,
2,20142,169.0,16706.0,3064.0,203.0,,
3,20142,169.0,16706.0,3064.0,203.0,,
4,20142,169.0,16706.0,3064.0,203.0,,
5,20142,169.0,16706.0,3064.0,203.0,,
6,20142,169.0,16706.0,3064.0,203.0,,
7,20142,169.0,16706.0,3064.0,203.0,,
8,20142,169.0,16706.0,3064.0,203.0,,
9,20142,169.0,16706.0,3064.0,203.0,,
10,20142,169.0,16706.0,3064.0,203.0,,
11,20142,169.0,16706.0,3064.0,203.0,,
12,20142,169.0,16706.0,3064.0,203.0,,
13,20142,169.0,16706.0,3064.0,203.0,,
14,20142,169.0,16706.0,3064.0,203.0,,
15,20142,169.0,16706.0,3064.0,203.0,,
16,20142,169.0,16706.0,3064.0,203.0,,
17,20142,169.0,16706.0,3064.0,203.0,,
18,20142,169.0,16706.0,3064.0,203.0,,
19,20142,169.0,16706.0,3064.0,203.0,,
20,20142,169.0,16706.0,3064.0,203.0,,
21,20142,169.0,16706.0,3064.0,203.0,,
22,20142,169.0,16706.0,3064.0,203.0,,
23,20142,169.0,16706.0,3064.0,203.0,,
24,20142,169.0,16706.0,3064.0,203.0,,
25,20142,169.0,16706.0,3064.0,203.0,,
26,20142,169.0,16706.0,3064.0,203.0,,
27,20142,169.0,16706.0,3064.0,203.0,,
28,20142,169.0,16706.0,3064.0,203.0,,
29,20142,169.0,16706.0,3064.0,203.0,,
30,20142,169.0,16706.0,3064.0,203.0,,
31,20142,169.0,16706.0,3064.0,203.0,,
32,20142,169.0,16706.0,3064.0,203.0,,
33,20142,169.0,16706.0,3064.0,203.0,,
34,20142,169.0,16706.0,3064.0,203.0,,
35,20142,169.0,16706.0,3064.0,203.0,,
36,20142,169.0,16706.0,3064.0,203.0,,
37,20142,169.0,16706.0,3064.0,203.0,,
38,20142,169.0,16706.0,3064.0,203.0,,
39,20142,169.0,16706.0,3064.0,203.0,,
40,20142,169.0,16706.0,3064.0,203.0,,
41,20142,169.0,16706.0,3064.0,203.0,,
42,20142,169.0,16706.0,3064.0,203.0,,
43,20142,169.0,16706.0,3064.0,203.0,,
44,20142,169.0,16706.0,3064.0,203.0,,
45,20142,169.0,16706.0,3064.0,203.0,,
46,20142,169.0,16706.0,3064.0,203.0,,
47,20142,169.0,16706.0,3064.0,203.0,,
48,20142,169.0,16706.0,3064.0,203.0,,
49,20142,169.0,16706.0,3064.0,203.0,,
50,20142,169.0,16706.0,3064.0,203.0,,
51,20142,169.0,16706.0,3064.0,203.0,,
52,20142,169.0,16706.0,3064.0,203.0,,
53,20142,169.0,16706.0,3064.0,203.0,,
54,20142,169.0,16706.0,3064.0,203.0,,
55,20142,169.0,16706.0,3064.0,203.0,,
0,15819,176.0,12081.0,1620.0,1942.0,,
0,1926,,156.0,274.0,118.0,IT,1926.0
0,6820,52.0,534.0,5914.0,558.0,,
0,13181,20.0,171.0,,725.0,,
0,16885,,,,,,
